dt,"[7706] Old Chemistry Building, CHW","[7767] TUNL Bldg., CHW","[7234] East Dorm 1 Blackwell, CHW","[7514] Medical Science Research Bldg II, STEAM","[7701] Duke Chapel, STEAM"
1/1/2017,832.0700073,442.2200012,443.7999878,111714,19896.09961
1/8/2017,5196.459961,3515.839996,2740.029999,1084826,133987.7988
1/15/2017,4881.789993,3419.779999,2527.309952,974969.6016,148521.6016
1/22/2017,7366.000062,5045.470062,2163.149994,706179.8047,92741.35058
1/29/2017,6869.850036,4307.279907,1926.559982,848026.6016,114688.7988
2/5/2017,6382.170044,3675.080048,1638.149963,972509,131853.1982
2/12/2017,7671.759887,4688.720001,3767.69992,747506.7969,88250.76076
2/19/2017,7300.48999,3745.379974,2462.329971,759479.6016,89247.89941
2/26/2017,8480.609986,5841.78009,4395.279922,655582.6953,70041.48047
3/5/2017,7441.389953,4590.160034,3106.059967,815779.9063,86353.2002
3/12/2017,6486.169983,4020.139954,2985.040008,776842.1016,86563.5
3/19/2017,4664.900086,3915.420013,1272.189995,1010024,137016.8984
3/26/2017,6857.99994,4672.630005,3900.369995,699089.5,82010.61035
4/2/2017,8773.469971,6898.609925,5136.340057,589112.3047,67328.65039
4/9/2017,8163.199952,5534.119933,4286.419983,557212.1016,72799.20019
4/16/2017,11880.06006,6748.089965,7107.790101,564935.8125,65699.58984
4/23/2017,12530.65027,7968.590026,6901.980041,575818.211,71529.37012
4/30/2017,13892.19006,8832.399902,9011.320009,583259.8984,77932.54102
5/7/2017,12044.13989,6607.679993,6318.880066,515855.8984,68789.68066
5/14/2017,10264.09985,7231.769897,4994.560028,592157.3047,68258.3999
5/21/2017,15845.76013,9138.940064,10393.05981,574580.0157,74557.79981
5/28/2017,14353.83032,8515.639892,9768.109985,574959.5,81818.71875
6/4/2017,15720.59009,9381.53003,10975.06006,571635.4922,74397.53027
6/11/2017,14190.14966,8819.380005,9096.179992,581198,72527.66993
6/18/2017,18772.36011,10784.65002,14144.3302,576303.3047,83265.50098
6/25/2017,17965.82031,10445.3501,14341.77979,585585.7031,80009.80078
7/2/2017,15968.85999,9952.399901,12357.31006,575948,64161.66015
7/9/2017,19225.86011,11207.77002,15142.30017,578639.5,73976.87989
7/16/2017,20771.64014,12035.16003,16313.44019,575154.7969,67911.45997
7/23/2017,20164.06982,11493.45996,15323.72034,580760,69766.54002
7/30/2017,18784.02026,10904.54004,13930.60974,578160.586,70167.31055
8/6/2017,16498.40991,10812.81982,12668.36011,575114.7188,71214.98926
8/13/2017,17373.53003,11013.36011,9913.369874,585442.6016,82244.39941
8/20/2017,19938.84009,11104.32996,14688.94006,565988.0078,79523.86036
8/27/2017,17998.45972,10286.67004,12049.32996,541032,68783.94043
9/3/2017,14980.8103,9492.799804,10596.66003,536893.5078,74307.67871
9/10/2017,13114.86987,8778.800048,8335.040039,537112.4063,71234.45996
9/17/2017,15363.37964,9440.549926,11154.47003,549819.7969,79448.0996
9/24/2017,17384.38989,9283.759888,11824.34998,544880.7969,74205.69043
10/1/2017,15002.59973,8514.639954,9937.509827,541358.9063,66475.03955
10/8/2017,12974.42993,8567.490112,9402.820068,552245.7969,72163.52929
10/15/2017,16672.62012,9315.579955,12890.29993,536773.1953,75423.32032
10/22/2017,8957.559936,5485.349914,5021.359985,598573.2032,63013.42969
10/29/2017,8826.200134,5485.559875,5469.840057,620547.1016,61988.71972
11/5/2017,8820.099853,5504.470062,5295.769973,635087.3985,63695.08984
11/12/2017,7301.569947,5065.21997,2419.819969,823324.5,81615.8203
11/19/2017,6590.23999,4160.380005,2272.830017,778488.6016,89498.70019
11/26/2017,6688.319946,3841.340027,2586.429977,864553.8984,90259.49901
12/3/2017,6931.4599,3780.879944,3114.380005,762757.6016,76537.83009
12/10/2017,6672.47998,4472.559998,2089.829987,948661,98478.10058
12/17/2017,5334.900024,5685.239929,1829.990005,1023305,134390.0996
12/24/2017,6443.269959,5164.250061,3533.050018,757820.6016,90417.80078
12/31/2017,5200.719971,3617.169983,646.4099884,1030867,120002.8008
1/7/2018,5305.080017,4001.700012,654.0699996,1522509,208816.9004
1/14/2018,5625.76007,4603.430054,4111.569947,980403.3984,146735.5996
1/21/2018,4737.570068,4475.859985,2399.329971,1181252,161236.9004
1/28/2018,5779.509949,4897.860046,4202.600006,881671.5,104932.4014
2/4/2018,5311.770081,4693.979919,2482.809997,1112933,132691.3984
2/11/2018,6420.200012,5503.880005,4534.620056,884806.8984,111449.5
2/18/2018,7257.789979,5636.299988,4748.859924,813343.1016,86115.89941
2/25/2018,8974.970215,5594.530029,7448.290009,644616.7969,80810.20117
3/4/2018,6358.599915,4874.5,3372.770019,790433.5,80889.29981
3/11/2018,5272.660034,4261.920044,2163.909989,930922,112076.2002
3/18/2018,5787.780029,4054.489929,3156.290009,880027,119393.002
3/25/2018,5975.659912,4172.549988,2987.47998,889321.2969,104347.7012
4/1/2018,5658.42003,4490.919983,5293.910004,712790.4063,90249.69922
4/8/2018,6562.159974,4565.090027,5226.109954,708802.8984,78228.5996
4/15/2018,9446.960023,4693.72998,6461.699951,659478.2969,82712.7998
4/22/2018,8650.659913,4240.949951,5223.989991,688513.3985,74275.3994
4/29/2018,9901.610107,5420.590027,6734.250001,586351.2031,57523.86914
5/6/2018,12481.54004,6160.319946,8964.269897,587804.2109,55806.64941
5/13/2018,14137.48023,7051.359924,9915.100098,561216.0938,54924.93994
5/20/2018,16939.87988,8222.299926,12562.37,551011.711,68915.29102
5/27/2018,17401.06006,7902.369872,12493.44995,562480.8985,60396.83057
6/3/2018,17450.91004,8430.529909,12752.79993,543195.2031,66014.42871
6/10/2018,16557.71021,8750.739867,11299.72009,532159,53155.80078
6/17/2018,17388.16992,9536.509887,12127.8501,534294.5078,58155.70947
6/24/2018,20540.04004,10023.46008,13137.11011,532353.6016,54308.40967
7/1/2018,19304.67993,10041.04993,12385.43006,531115,58036.16016
7/8/2018,19762.79004,10503.15002,13212.27014,538033.1875,55989.31934
7/15/2018,17863.90027,10459.95996,12163.72998,537028.0078,53901.2002
7/22/2018,18279.02026,9815.469972,12272.92005,532510.5078,56673.83008
7/29/2018,19317.37012,9493.680054,12912.57996,533447.1016,63704.06055
8/5/2018,19164.46997,9915.580078,45208.75952,539564.5078,66710.7002
8/12/2018,20266.66992,10054.27002,53770.29981,532705.6953,63085.90918
8/19/2018,17524.82019,9535.27002,53581.64014,483493.8985,62384.51953
8/26/2018,14064.06018,9456.640013,58529.50879,524025.5078,59493.95947
9/2/2018,21107.06006,9789.880126,51684.21045,537386.1953,63506.98047
9/9/2018,20718.58984,9026.989991,51006.97949,526741.5,60877.58984
9/16/2018,19018.92969,7724.700012,48313.31982,548494.2969,67799.84961
9/23/2018,19352.84985,9148.780153,48673.00049,540631.4141,71384.09961
9/30/2018,17484.67969,8853.969972,48714.95996,576658.2969,69303.37013
10/7/2018,17615.52002,8780.69995,14896.79016,593472.7969,66622.31934
10/14/2018,14350.71021,8420.729981,9346.320007,604500.0078,64971.36963
10/21/2018,10655.15002,7064.079956,6542.99002,631079.2031,62346.72949
10/28/2018,7721.029908,6031.179993,3013.579987,752755.2031,82674.44922
11/4/2018,8478.719946,6023.630066,5336.570139,662358.6953,73094.62012
11/11/2018,9378.109984,6509.110046,4805.16005,716770.7969,71983.74122
11/18/2018,7511.060058,5004.050049,2266.160034,897028,109174.3994
11/25/2018,7690.71997,4789.579956,2501.840042,896644,103319.9004
12/2/2018,8047.930054,5200.699951,3561.799904,864511.7969,113131.3975
12/9/2018,8060.359985,4886.569946,2075.800026,975689.6016,110803.8018
12/16/2018,7048.439941,4668.740051,1836.250023,1004281,104126.0903
12/23/2018,7650.560058,4863.820007,2663.049988,847421.3984,60123.06983
12/30/2018,7530.059997,5215.890015,3533.929962,856281.4063,103004.3008
1/6/2019,7040.520019,4878.600037,4365.140107,607157.2969,61444.1006
1/13/2019,7825.690002,4519.900086,1814.420021,1021320,116540.9014
1/20/2019,7595.180053,4569.719971,2821.129944,961469,97184.62084
1/27/2019,7041.0401,4397.559937,2388.18997,1090813,121904.3975
2/3/2019,6765.089966,4325.499939,2661.279991,1075153,114053.1904
2/10/2019,9564.309935,5130.9599,6090.900055,799734.1016,72634.38037
2/17/2019,7430.360048,4395.610047,3166.26001,906836,106423.7002
2/24/2019,6957.709961,4062.399994,2717.600006,954735,121852.2002
3/3/2019,7396.20996,4380.490051,3365.939941,877129,107460
3/10/2019,7425.159973,4400.599976,2564.560013,1001310.398,120499.2002
3/17/2019,8427.710083,4902.069946,5331.720032,759047.7969,87085.29981
3/24/2019,6366.680054,4441.059998,3846.390015,856348,96947.50097
3/31/2019,8238.780029,4917.850037,5736.890045,751285.7969,78963.09863
4/7/2019,8736.260009,6188.649964,5153.899994,768458.2969,80722.52148
4/14/2019,12255.62988,7376.090026,9803.100097,589931.6875,78108.04101
4/21/2019,10987.91016,6526.5401,7228.970031,645309.9063,68862.37012
4/28/2019,12126.2301,7040.480163,8270.880005,617411,62080.86035
5/5/2019,15767.3501,9425.029906,11399.22998,597090.7969,73032.27929
5/12/2019,15226.75,8854.970092,10847.46985,601489.2031,67083.81055
5/19/2019,13464.2699,7610.48993,9242.299988,615384.0938,60349.25049
5/26/2019,16579.10986,9846.930054,13763.71997,581830.211,63892.26025
6/2/2019,16671.28003,10382.44995,13765.09998,579089.0938,57471.12988
6/9/2019,15701.94995,9851.520142,13565.27014,595702.1953,66371.29054
6/16/2019,13851.4198,9182.350099,10917.89032,595671.3985,63506.52002
6/23/2019,16477.49023,10472.34985,15463.30005,600117.9922,69709.26954
6/30/2019,17392.39014,10724.54004,16341.59009,616901.4063,61955.55957
7/7/2019,17952.02002,11159.57996,17513.18994,620685.5938,61315.80029
7/14/2019,16897.15015,11501.68994,17945.25,603522.7031,61028.01953
7/21/2019,10482.80013,11794.32996,18041.26978,602663.3985,57393.15039
7/28/2019,15996.17017,10489.92993,11743.53003,594965.1016,59620.51953
8/4/2019,16143.06982,10504.16003,12649.90002,597773.8047,64054.78027
8/11/2019,16133.91992,9683.289918,12621.03992,596385.0078,68679.46972
8/18/2019,17718.48999,10609.85986,12835.6001,600109.3047,67649.58984
8/25/2019,16452.03967,10431.56006,12886.43982,622449.3985,66757.73926
9/1/2019,14385.19019,10268.51001,10613.34009,591226.3985,64105.12989
9/8/2019,16237.73975,9857.230103,12476.03003,592022.2969,68076.33106
9/15/2019,16140.45972,10230.91003,12820.84998,595835.1953,69562.7705
9/22/2019,11086.81006,8944.919921,9433.200074,595749.2969,60549.32959
9/29/2019,14970.98987,8934.800172,11497.28003,592322.2969,64530.9209
10/6/2019,13122.62,9070.880005,10635.48993,597554.4063,62825.58936
10/13/2019,10291.42993,7864.680053,6990.089905,604017.9063,61370.95117
10/20/2019,8748.390137,7243.330017,5212.719971,590323.5039,65129.54004
10/27/2019,10489.96997,7001.690063,7013.260132,645958.6016,65510.53956
11/3/2019,10062.93994,6316.559997,6166.929993,716489.0938,66306.88038
11/10/2019,8040.460206,5045.540039,3484.709992,859322,69508.10059
11/17/2019,7803.680053,4608.529907,2544.370041,1033091,109727.5996
11/24/2019,7032.059998,4667.129944,4087.550018,833168.1016,95258.99999
12/1/2019,8237.780028,4916,4160,842738,88920.90039
12/8/2019,8278.200196,4807.06012,2999.159973,970276.7969,108931.001
12/15/2019,8307.240112,5295.890075,3481.060013,946095.3283,111202.8994
12/22/2019,8104.53003,5128.26001,2371.800026,1015233.852,117846.499
12/29/2019,8633.640014,5337.300049,4057.98999,794898.9532,98684.50098
1/5/2020,7659.939941,4404.909973,3245.950012,709773.3047,80683.5
1/12/2020,7412.700165,5188.559936,4790.370026,898130.6015,109939.3994
1/19/2020,9544.109862,5865.309997,5790.609956,793371.0859,92735.85937
1/26/2020,8082.159911,4909.890015,2538.300011,1067934.031,135067.9619
2/2/2020,8045.110107,4704.340027,2844.540009,1020598.57,125110.4727
2/9/2020,9402.940064,5528.239929,5101.059966,845547.672,97754.1084
2/16/2020,9098.21997,5945.130066,4194.150025,860982.6329,99023.8496
2/23/2020,7795.429993,5084.869934,3340.840057,971524.7736,111771.2598
3/1/2020,8045.389954,4924.400024,3912.150024,914358.3907,106572.7012
3/8/2020,8250.569947,4743.23999,4472.480072,821863.0079,94204.41015
3/15/2020,7280.97998,4374.660034,4792.619995,498260.6953,53067.5498
